Year	Freq	Case
1820	38	NOM
1820	2	ACC
1830	65	NOM
1830	0	ACC
1840	75	NOM
1840	3	ACC
1850	75	NOM
1850	7	ACC
1860	90	NOM
1860	8	ACC
1870	135	NOM
1870	5	ACC
1880	166	NOM
1880	14	ACC
1890	180	NOM
1890	3	ACC
1900	247	NOM
1900	11	ACC
1910	218	NOM
1910	17	ACC
1920	221	NOM
1920	20	ACC
1930	199	NOM
1930	25	ACC
1940	219	NOM
1940	25	ACC
1950	211	NOM
1950	28	ACC
1960	226	NOM
1960	25	ACC
1970	159	NOM
1970	48	ACC
1980	172	NOM
1980	34	ACC
1990	131	NOM
1990	29	ACC
2000	107	NOM
2000	31	ACC
2010	78	NOM
2010	36	ACC
