Year	Freq	Comp
1820	19	that
1830	18	that
1840	20	that
1850	20	that
1860	18	that
1870	21	that
1880	38	that
1890	22	that
1900	41	that
1910	25	that
1920	35	that
1930	28	that
1940	38	that
1950	27	that
1960	20	that
1970	25	that
1980	15	that
1990	14	that
2000	15	that
2010	19	that
1820	21	who
1830	47	who
1840	58	who
1850	62	who
1860	80	who
1870	119	who
1880	142	who
1890	161	who
1900	217	who
1910	210	who
1920	206	who
1930	196	who
1940	206	who
1950	212	who
1960	231	who
1970	182	who
1980	191	who
1990	146	who
2000	123	who
2010	95	who
